timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
45390;2;11;1;76;369;4301;-1086;-1947;-4884;1112
45400;2;11;1;76;508;4123;-1114;-2727;-4936;1207
45410;2;11;1;76;728;4045;-1018;-3607;-4693;1135
45420;2;11;1;76;853;4186;-636;-4082;-4209;968
45430;2;11;1;76;899;4294;-119;-3856;-3817;772
45440;2;11;1;76;957;4397;45;-3070;-3724;691
45450;2;11;1;76;999;4466;4;-2200;-3711;756
45460;2;11;1;76;1060;4353;-275;-1404;-3703;694
45470;2;11;1;76;1083;4299;-525;-1035;-3674;630
45480;2;11;1;76;1094;4201;-690;-1126;-3672;640
45490;2;11;1;76;1076;4154;-640;-1605;-3691;676
45500;2;11;1;76;1077;4257;-463;-2016;-3793;800
45510;2;11;1;76;1092;4280;-163;-2006;-3960;1053
45520;2;11;1;76;1080;4217;-2;-1579;-4063;1176
45530;2;11;1;76;1107;4114;-22;-1110;-3931;1156
45540;2;11;1;76;1161;3963;0;-979;-3617;1065
45550;2;11;1;76;1218;3894;11;-958;-3201;892
45560;2;11;1;76;1226;3901;117;-951;-2723;739
45570;2;11;1;76;1307;3963;240;-934;-2316;868
45580;2;11;1;76;1208;3957;275;-601;-2061;904
45590;2;11;1;76;1195;3923;154;-191;-1790;933
45600;2;11;1;76;1138;3891;-2;-1;-1447;1008
45610;2;11;1;76;1065;3891;-114;-61;-1187;1091
45620;2;11;1;76;1031;3906;-132;-139;-902;1155
45630;2;11;1;76;927;3962;-78;-37;-632;1178
45640;2;11;1;76;850;4012;-52;97;-361;1186
45650;2;11;1;76;773;4077;-14;122;-157;1168
45660;2;11;1;76;776;4093;-25;177;23;1133
45670;2;11;1;76;789;4093;-48;269;198;1036
45680;2;11;1;76;716;4043;-95;205;323;889
45690;2;11;1;76;825;4190;-84;73;387;737
45700;2;11;1;76;823;4082;-5;143;277;741
45710;2;11;1;76;736;3967;-138;136;203;568
45720;2;11;1;76;761;4029;-126;-13;252;358
45730;2;11;1;76;661;4044;75;-21;169;408
45740;2;11;1;76;573;4012;120;-64;-43;425
45750;2;11;1;76;487;4105;206;-44;-276;547
45760;2;11;1;76;492;4057;253;151;-512;679
45770;2;11;1;76;598;4039;232;595;-557;568
45780;2;11;1;76;664;4057;137;1048;-523;253
45790;2;11;1;76;599;4098;-55;1216;-771;105
45800;2;11;1;76;476;4013;-375;885;-1206;242
45810;2;11;1;76;285;3826;-499;200;-1562;469
45820;2;11;1;76;234;3741;-369;-417;-1638;608
45830;2;11;1;76;269;3688;-122;-923;-1343;571
45840;2;11;1;76;510;3812;122;-1338;-700;176
45850;2;11;1;76;697;4016;564;-1284;-54;-203
45860;2;11;1;76;860;4128;756;-958;239;-375
45870;2;11;1;76;981;4131;714;-629;265;-481
45880;2;11;1;76;967;4048;506;-273;287;-657
45890;2;11;1;77;863;4034;395;79;330;-844
45900;2;11;1;77;700;4084;254;370;358;-969
45910;2;11;1;77;548;4125;56;668;422;-1104
45920;2;11;1;77;352;4135;-138;771;500;-1084
45930;2;11;1;77;263;4156;-261;783;486;-942
45940;2;11;1;77;213;4241;-409;647;505;-743
45950;2;11;1;77;294;4335;-397;369;548;-547
45960;2;11;1;77;391;4430;-371;4;513;-303
45970;2;11;1;77;521;4416;-290;-271;465;-137
45980;2;11;1;77;656;4392;-202;-473;372;-53
45990;2;11;1;77;698;4331;-167;-531;336;-19
46000;2;11;1;77;704;4256;-97;-490;367;-32
46010;2;11;1;77;638;4177;-52;-325;380;18
46020;2;11;1;77;601;4072;-75;-405;544;-67
46030;2;11;1;77;561;4030;-37;-547;724;-71
46040;2;11;1;77;554;4014;11;-570;847;19
46050;2;11;1;77;598;3987;-15;-370;961;118
46060;2;11;1;77;639;3975;-133;-305;1133;-11
46070;2;11;1;77;705;3953;-79;-270;1287;-101
46080;2;11;1;77;698;3975;-82;-224;1264;-132
46090;2;11;1;77;721;3994;-24;-227;1260;-206
46100;2;11;1;77;651;4026;38;-73;1163;-212
46110;2;11;1;77;584;4038;48;-26;1183;-341
46120;2;11;1;77;563;4074;138;32;1197;-394
46130;2;11;1;77;501;4150;222;300;991;-269
46140;2;11;1;77;545;4072;151;473;982;-333
46150;2;11;1;77;562;4121;106;626;934;-366
46160;2;11;1;77;599;4141;75;572;890;-427
46170;2;11;1;77;611;4158;86;651;735;-338
46180;2;11;1;77;611;4099;9;599;767;-424
46190;2;11;1;77;619;4119;-19;498;881;-578
46200;2;11;1;77;603;4200;75;370;797;-508
46210;2;11;1;77;505;4192;62;191;583;-289
46220;2;11;1;77;502;4157;-19;31;549;-218
46230;2;11;1;77;454;4175;-29;-49;541;-166
46240;2;11;1;77;427;4155;-37;-143;448;-28
46250;2;11;1;77;461;4184;-63;-364;446;-31
46260;2;11;1;77;437;4204;43;-547;396;18
46270;2;11;1;77;411;4254;128;-617;252;94
46280;2;11;1;77;405;4225;187;-542;185;102
46290;2;11;1;77;428;4196;162;-381;111;127
46300;2;11;1;77;490;4146;141;-303;85;93
46310;2;11;1;77;489;4136;147;-246;1;90
46320;2;11;1;77;498;4099;133;-189;-89;112
46330;2;11;1;77;497;4095;98;-79;-146;89
46340;2;11;1;77;529;4088;95;25;-173;35
46350;2;11;1;77;537;4128;99;130;-294;35
46360;2;11;1;77;545;4130;64;88;-388;-31
46370;2;11;1;77;527;4147;18;11;-446;-53
46380;2;11;1;77;490;4138;41;-21;-469;-86
46390;2;11;1;78;493;4129;5;-17;-425;-160
46400;2;11;1;78;513;4135;-12;-59;-367;-244
46410;2;11;1;78;528;4156;42;-99;-418;-250
46420;2;11;1;78;509;4166;59;-102;-520;-213
46430;2;11;1;78;506;4181;76;-60;-610;-165
46440;2;11;1;78;500;4147;83;-13;-676;-117
46450;2;11;1;78;535;4128;45;37;-707;-80
46460;2;11;1;78;562;4080;4;102;-703;-102
46470;2;11;1;78;598;4085;-72;128;-715;-155
46480;2;11;1;78;584;4083;-67;84;-768;-166
46490;2;11;1;78;563;4065;-67;5;-828;-136
46500;2;11;1;78;536;4083;-37;-47;-858;-85
46510;2;11;1;78;538;4082;-23;-66;-834;-55
46520;2;11;1;78;615;4100;5;-93;-796;-52
46530;2;11;1;78;634;4101;61;-138;-769;-55
46540;2;11;1;78;686;4078;84;-146;-706;-80
46550;2;11;1;78;669;4053;131;-169;-631;-106
46560;2;11;1;78;652;4035;145;-168;-571;-87
46570;2;11;1;78;647;4023;169;-180;-478;-62
46580;2;11;1;78;653;4038;199;-197;-378;-51
46590;2;11;1;78;675;4044;216;-171;-282;-47
46600;2;11;1;78;683;4042;221;-124;-160;-69
46610;2;11;1;78;709;4035;225;-29;-41;-116
46620;2;11;1;78;688;4046;241;92;85;-181
46630;2;11;1;78;668;4083;204;173;228;-254
