timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
1477409;2;16;1;2939;-367;4122;-128;28;390;31
1477419;2;16;1;2939;-378;4103;-119;37;450;30
1477429;2;16;1;2939;-361;4092;-96;32;514;17
1477439;2;16;1;2939;-377;4073;-111;5;526;-5
1477449;2;16;1;2939;-372;4072;-139;-9;517;-15
1477459;2;16;1;2939;-376;4068;-144;-42;513;-17
1477469;2;16;1;2939;-368;4049;-141;-68;478;-5
1477479;2;16;1;2939;-394;4059;-124;-73;387;9
1477489;2;16;1;2939;-416;4077;-109;1;277;18
1477499;2;16;1;2939;-436;4072;-139;47;217;11
1477509;2;16;1;2939;-463;4106;-185;53;171;31
1477519;2;16;1;2939;-440;4091;-228;-15;126;48
1477529;2;16;1;2939;-420;4075;-285;-142;73;61
1477539;2;16;1;2939;-408;4055;-295;-308;51;69
1477549;2;16;1;2939;-383;4024;-265;-459;52;71
1477559;2;16;1;2939;-383;4031;-225;-531;55;63
1477569;2;16;1;2939;-368;4031;-183;-522;55;59
1477579;2;16;1;2939;-369;4000;-165;-466;49;39
1477589;2;16;1;2939;-345;3985;-176;-392;95;18
1477599;2;16;1;2939;-332;3957;-174;-326;155;-8
1477609;2;16;1;2939;-318;3960;-204;-254;202;-30
1477619;2;16;1;2939;-302;3958;-245;-196;269;-41
1477629;2;16;1;2939;-295;3967;-289;-170;344;-46
1477639;2;16;1;2939;-283;3947;-296;-206;358;-70
1477649;2;16;1;2939;-302;3969;-254;-226;326;-74
1477659;2;16;1;2939;-302;3969;-231;-238;297;-69
1477669;2;16;1;2939;-290;3948;-195;-230;294;-80
1477679;2;16;1;2939;-263;3951;-137;-177;315;-90
1477689;2;16;1;2939;-236;3944;-128;-87;388;-118
1477699;2;16;1;2939;-213;3986;-145;-34;538;-138
1477709;2;16;1;2939;-216;4034;-106;-12;676;-134
1477719;2;16;1;2939;-188;4057;-87;-9;758;-123
1477729;2;16;1;2939;-176;4078;-84;-32;802;-116
1477739;2;16;1;2939;-158;4077;-63;-70;795;-103
1477749;2;16;1;2939;-144;4083;-33;-101;784;-117
1477759;2;16;1;2939;-134;4072;14;-73;780;-148
1477769;2;16;1;2939;-123;4091;-24;24;777;-135
1477779;2;16;1;2939;-130;4107;-40;63;782;-124
1477789;2;16;1;2939;-133;4136;-80;-16;794;-120
1477799;2;16;1;2939;-124;4174;-75;-108;854;-146
1477809;2;16;1;2939;-123;4232;-27;-159;940;-214
1477819;2;16;1;2939;-129;4302;25;-73;983;-254
1477829;2;16;1;2939;-141;4371;4;24;991;-284
1477839;2;16;1;2939;-160;4432;-21;60;963;-290
1477849;2;16;1;2939;-189;4459;-33;61;905;-259
1477859;2;16;1;2939;-187;4462;-83;43;887;-247
1477869;2;16;1;2939;-220;4456;-177;-63;928;-245
1477879;2;16;1;2939;-217;4469;-238;-293;987;-184
1477889;2;16;1;2939;-231;4379;-221;-638;920;-49
1477899;2;16;1;2939;-210;4290;-180;-950;973;-16
1477909;2;16;1;2940;-167;4215;-184;-1192;1066;25
1477919;2;16;1;2940;-140;4109;-211;-1234;984;179
1477929;2;16;1;2940;-84;4099;-245;-1180;607;415
1477939;2;16;1;2940;-62;4090;-276;-1249;139;600
1477949;2;16;1;2940;-60;4086;-147;-1278;-48;561
1477959;2;16;1;2940;-102;4134;53;-1138;-8;424
1477969;2;16;1;2940;-138;4130;145;-869;79;366
1477979;2;16;1;2940;-98;4107;116;-544;175;365
1477989;2;16;1;2940;-69;4063;-13;-281;206;403
1477999;2;16;1;2940;-25;4024;-121;-226;125;458
1478009;2;16;1;2940;-29;4006;-149;-318;-18;502
1478019;2;16;1;2940;-35;4022;-147;-405;-130;509
1478029;2;16;1;2940;-38;4050;-156;-484;-168;480
1478039;2;16;1;2940;-32;4074;-138;-522;-120;474
1478049;2;16;1;2940;-25;4095;-90;-540;-101;447
1478059;2;16;1;2940;-48;4111;-66;-564;-110;395
1478069;2;16;1;2940;-47;4137;1;-554;-120;348
1478079;2;16;1;2940;-70;4127;-15;-446;-125;363
1478089;2;16;1;2940;-54;4110;-20;-305;-82;334
1478099;2;16;1;2940;-89;4112;-84;-204;-34;365
1478109;2;16;1;2940;-84;4122;-108;-133;-18;381
1478119;2;16;1;2940;-91;4127;-158;-112;22;382
1478129;2;16;1;2940;-127;4124;-212;-117;84;365
1478139;2;16;1;2940;-114;4152;-181;-197;159;337
1478149;2;16;1;2940;-127;4147;-172;-251;172;333
1478159;2;16;1;2940;-120;4135;-136;-272;154;313
1478169;2;16;1;2940;-133;4100;-100;-177;157;267
1478179;2;16;1;2940;-135;4077;-99;-53;152;251
1478189;2;16;1;2940;-155;4052;-77;80;124;280
1478199;2;16;1;2940;-136;4051;-102;157;105;280
1478209;2;16;1;2940;-142;4072;-63;256;116;270
1478219;2;16;1;2940;-149;4095;-55;403;144;267
1478229;2;16;1;2940;-140;4091;-68;519;175;263
1478239;2;16;1;2940;-128;4067;-92;523;218;217
1478249;2;16;1;2940;-104;4093;-131;472;259;186
1478259;2;16;1;2940;-121;4097;-142;482;260;190
1478269;2;16;1;2940;-114;4083;-151;436;200;186
1478279;2;16;1;2940;-134;4080;-164;381;162;180
1478289;2;16;1;2940;-155;4063;-148;321;128;174
1478299;2;16;1;2940;-171;4057;-146;323;64;165
1478309;2;16;1;2940;-222;4070;-135;320;8;167
1478319;2;16;1;2940;-218;4089;-181;305;-17;201
1478329;2;16;1;2940;-237;4096;-196;233;-14;222
1478339;2;16;1;2940;-213;4097;-240;158;-29;214
1478349;2;16;1;2940;-235;4089;-207;91;-33;176
1478359;2;16;1;2940;-224;4093;-175;103;-55;158
1478369;2;16;1;2940;-212;4102;-144;215;-97;140
1478379;2;16;1;2940;-213;4113;-162;297;-166;127
1478389;2;16;1;2940;-183;4110;-162;295;-233;122
1478399;2;16;1;2940;-169;4123;-149;292;-310;143
1478409;2;16;1;2941;-133;4123;-146;335;-401;145
1478419;2;16;1;2941;-140;4138;-147;328;-458;121
1478429;2;16;1;2941;-115;4125;-141;273;-475;119
1478439;2;16;1;2941;-122;4116;-152;196;-474;100
1478449;2;16;1;2941;-109;4114;-135;144;-494;97
1478459;2;16;1;2941;-80;4128;-114;107;-541;124
1478469;2;16;1;2941;-87;4138;-73;153;-612;126
1478479;2;16;1;2941;-85;4182;-66;245;-672;126
1478489;2;16;1;2941;-100;4190;-78;345;-723;145
1478499;2;16;1;2941;-117;4214;-142;407;-759;162
1478509;2;16;1;2941;-81;4186;-224;362;-762;169
1478519;2;16;1;2941;-77;4175;-249;257;-822;142
1478529;2;16;1;2941;-75;4162;-232;165;-898;152
