timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
1569909;2;16;1;3124;11;4108;476;87;-242;-155
1569919;2;16;1;3124;36;4131;482;46;-212;-161
1569929;2;16;1;3124;27;4127;439;-10;-201;-162
1569939;2;16;1;3124;61;4130;425;-112;-216;-152
1569949;2;16;1;3124;53;4127;463;-125;-251;-128
1569959;2;16;1;3124;46;4118;451;-98;-238;-111
1569969;2;16;1;3124;41;4109;422;-38;-187;-65
1569979;2;16;1;3124;37;4105;395;27;-116;-34
1569989;2;16;1;3124;44;4078;394;43;-85;-67
1569999;2;16;1;3124;25;4092;388;21;-62;-121
1570009;2;16;1;3124;9;4123;411;10;-39;-116
1570019;2;16;1;3124;-19;4138;434;-31;-50;-118
1570029;2;16;1;3124;-6;4141;423;-97;-49;-129
1570039;2;16;1;3124;-5;4136;397;-127;-51;-141
1570049;2;16;1;3124;5;4135;413;-170;-47;-150
1570059;2;16;1;3124;-8;4133;451;-157;-56;-131
1570069;2;16;1;3124;-2;4134;456;-76;-53;-107
1570079;2;16;1;3124;4;4107;488;-1;-43;-85
1570089;2;16;1;3124;20;4092;487;110;-31;-77
1570099;2;16;1;3124;60;4106;462;261;-31;-26
1570109;2;16;1;3124;61;4086;398;303;-32;7
1570119;2;16;1;3124;67;4079;374;237;-40;-19
1570129;2;16;1;3124;53;4098;373;164;-19;-54
1570139;2;16;1;3124;38;4123;349;117;0;-68
1570149;2;16;1;3124;42;4142;343;55;20;-70
1570159;2;16;1;3124;51;4073;349;27;0;-106
1570169;2;16;1;3124;8;4099;355;7;-1;-135
1570179;2;16;1;3124;-29;4145;380;-17;21;-75
1570189;2;16;1;3124;16;4138;382;10;16;-8
1570199;2;16;1;3124;30;4119;372;30;-20;-34
1570209;2;16;1;3124;24;4111;336;-19;8;-55
1570219;2;16;1;3124;13;4115;341;-78;65;-69
1570229;2;16;1;3124;21;4107;367;-115;93;-68
1570239;2;16;1;3124;18;4099;400;-82;70;-59
1570249;2;16;1;3124;-15;4111;384;-43;25;-30
1570259;2;16;1;3124;7;4120;384;-33;-5;4
1570269;2;16;1;3124;5;4109;374;-17;-28;30
1570279;2;16;1;3124;6;4113;381;-30;-34;16
1570289;2;16;1;3124;20;4104;393;-38;-24;-3
1570299;2;16;1;3124;14;4093;392;-29;-40;-5
1570309;2;16;1;3124;33;4080;364;-50;-52;-11
1570319;2;16;1;3124;14;4100;348;-104;-35;-14
1570329;2;16;1;3124;30;4132;369;-93;-37;-11
1570339;2;16;1;3124;40;4129;341;-69;-60;-27
1570349;2;16;1;3124;33;4137;381;-64;-75;-46
1570359;2;16;1;3124;33;4132;384;-37;-91;-48
1570369;2;16;1;3124;40;4135;348;-31;-67;-32
1570379;2;16;1;3124;20;4106;367;-89;-60;-42
1570389;2;16;1;3124;21;4117;365;-156;-56;-59
1570399;2;16;1;3124;28;4123;347;-194;-57;-67
1570409;2;16;1;3125;10;4126;341;-231;-45;-77
1570419;2;16;1;3125;16;4142;391;-181;-24;-74
1570429;2;16;1;3125;30;4118;398;-79;24;-69
1570439;2;16;1;3125;34;4113;398;-17;54;-69
1570449;2;16;1;3125;37;4099;399;5;96;-70
1570459;2;16;1;3125;53;4111;391;4;152;-76
1570469;2;16;1;3125;51;4125;424;24;178;-76
1570479;2;16;1;3125;53;4122;403;31;202;-81
1570489;2;16;1;3125;50;4127;404;17;254;-81
1570499;2;16;1;3125;49;4129;398;-2;299;-69
1570509;2;16;1;3125;59;4133;372;-36;312;-51
1570519;2;16;1;3125;69;4109;331;-79;323;-65
1570529;2;16;1;3125;55;4119;319;-171;352;-91
1570539;2;16;1;3125;31;4132;358;-250;309;-69
1570549;2;16;1;3125;17;4117;372;-265;275;-35
1570559;2;16;1;3125;16;4124;383;-228;307;-17
1570569;2;16;1;3125;4;4114;403;-161;343;-6
1570579;2;16;1;3125;-6;4114;389;-63;362;3
1570589;2;16;1;3125;11;4105;420;-5;362;21
1570599;2;16;1;3125;24;4121;429;23;313;11
1570609;2;16;1;3125;22;4115;372;20;252;18
1570619;2;16;1;3125;30;4100;350;-22;235;22
1570629;2;16;1;3125;30;4103;367;-69;219;21
1570639;2;16;1;3125;28;4097;345;-44;181;24
1570649;2;16;1;3125;45;4096;320;-12;181;31
1570659;2;16;1;3125;38;4106;286;35;221;65
1570669;2;16;1;3125;48;4114;271;-10;257;87
1570679;2;16;1;3125;59;4114;281;-153;250;61
1570689;2;16;1;3125;53;4115;337;-302;239;2
1570699;2;16;1;3125;13;4129;340;-357;234;-23
1570709;2;16;1;3125;-15;4131;368;-357;214;-4
1570719;2;16;1;3125;-6;4098;367;-304;189;8
1570729;2;16;1;3125;-2;4101;353;-283;216;7
1570739;2;16;1;3125;3;4118;325;-251;226;17
1570749;2;16;1;3125;19;4102;290;-216;199;53
1570759;2;16;1;3125;32;4095;318;-216;171;63
1570769;2;16;1;3125;11;4103;359;-200;131;48
1570779;2;16;1;3125;5;4090;322;-171;102;47
1570789;2;16;1;3125;-1;4090;356;-155;97;62
1570799;2;16;1;3125;14;4078;365;-180;89;69
1570809;2;16;1;3125;21;4102;367;-158;78;55
1570819;2;16;1;3125;18;4114;392;-119;109;37
1570829;2;16;1;3125;35;4101;383;-67;142;49
1570839;2;16;1;3125;42;4113;366;-65;154;34
1570849;2;16;1;3125;36;4099;358;-111;148;-2
1570859;2;16;1;3125;11;4126;379;-121;147;-9
1570869;2;16;1;3125;13;4106;359;-44;122;13
1570879;2;16;1;3125;12;4111;323;-12;96;15
1570889;2;16;1;3125;7;4116;285;-52;88;5
1570899;2;16;1;3125;17;4132;275;-122;57;-22
1570909;2;16;1;3126;-2;4121;319;-168;16;-49
1570919;2;16;1;3126;7;4120;343;-159;-24;-53
1570929;2;16;1;3126;2;4096;353;-110;-89;-39
1570939;2;16;1;3126;7;4095;376;-60;-126;-12
1570949;2;16;1;3126;8;4097;360;-13;-107;-14
1570959;2;16;1;3126;19;4100;352;-9;-94;-25
1570969;2;16;1;3126;34;4113;319;-28;-59;-33
1570979;2;16;1;3126;51;4100;330;-50;-51;-56
1570989;2;16;1;3126;64;4101;338;-26;-46;-72
1570999;2;16;1;3126;51;4116;338;-6;-24;-49
1571009;2;16;1;3126;59;4115;367;-12;-37;-17
1571019;2;16;1;3126;40;4107;362;-18;-77;-27
1571029;2;16;1;3126;35;4122;343;-56;-80;-47
1571039;2;16;1;3126;30;4116;336;-72;-113;-58
1571049;2;16;1;3126;39;4102;333;-86;-145;-52
1571059;2;16;1;3126;19;4138;312;-103;-167;-55
1571069;2;16;1;3126;28;4108;330;-96;-195;-79
1571079;2;16;1;3126;33;4118;317;-35;-218;-88
1571089;2;16;1;3126;16;4123;313;-9;-223;-70
1571099;2;16;1;3126;28;4105;307;-21;-280;-74
1571109;2;16;1;3126;7;4106;309;-82;-330;-84
1571119;2;16;1;3126;5;4125;297;-154;-327;-85
1571129;2;16;1;3126;20;4136;345;-215;-326;-92
1571139;2;16;1;3126;21;4136;336;-173;-331;-96
1571149;2;16;1;3126;45;4130;355;-135;-347;-93
1571159;2;16;1;3126;25;4115;359;-89;-364;-100
1571169;2;16;1;3126;53;4126;355;-60;-367;-103
1571179;2;16;1;3126;61;4113;346;31;-400;-106
1571189;2;16;1;3126;68;4107;322;82;-419;-116
1571199;2;16;1;3126;60;4107;288;111;-443;-123
1571209;2;16;1;3126;53;4115;215;79;-417;-130
1571219;2;16;1;3126;67;4134;234;2;-377;-119
1571229;2;16;1;3126;55;4136;268;-67;-406;-126
1571239;2;16;1;3126;60;4155;302;-123;-444;-131
1571249;2;16;1;3126;55;4126;332;-125;-438;-128
1571259;2;16;1;3126;39;4140;364;-32;-432;-111
1571269;2;16;1;3126;30;4141;359;65;-460;-104
1571279;2;16;1;3126;53;4112;323;102;-488;-110
1571289;2;16;1;3126;61;4106;309;86;-500;-131
1571299;2;16;1;3126;48;4108;320;81;-529;-118
1571309;2;16;1;3126;57;4118;303;82;-551;-87
1571319;2;16;1;3126;51;4125;266;62;-533;-47
1571329;2;16;1;3126;58;4117;245;29;-505;-19
1571339;2;16;1;3126;42;4122;246;5;-474;-24
1571349;2;16;1;3126;50;4129;268;-15;-454;-37
