timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
151427;2;17;2;290;1218;3966;135;-2813;363;57
151437;2;17;2;290;1189;4016;242;-2416;258;-5
151447;2;17;2;290;1176;4070;257;-1805;258;-86
151457;2;17;2;290;1170;4083;254;-927;238;-226
151467;2;17;2;290;1202;3998;66;4;249;-320
151477;2;17;2;290;1186;3951;-244;769;204;-371
151487;2;17;2;290;1130;3970;-597;1012;173;-334
151497;2;17;2;290;1130;3971;-710;787;57;-357
151507;2;17;2;290;1096;4084;-719;390;-201;-358
151517;2;17;2;290;1018;4173;-664;-40;-388;-296
151527;2;17;2;290;952;4243;-527;-348;-466;-250
151537;2;17;2;290;929;4297;-367;-417;-522;-153
151547;2;17;2;290;955;4304;-335;-258;-595;-20
151557;2;17;2;290;1077;4217;-432;-18;-611;30
151567;2;17;2;290;1151;4162;-575;104;-612;-17
151577;2;17;2;290;1177;4111;-678;-122;-603;-89
151587;2;17;2;290;1191;4057;-686;-616;-673;-79
151597;2;17;2;290;1185;4004;-642;-1112;-803;-34
151607;2;17;2;290;1207;3951;-605;-1494;-797;-58
151617;2;17;2;290;1204;3918;-493;-1656;-675;-99
151627;2;17;2;290;1233;3906;-350;-1685;-655;-83
151637;2;17;2;290;1232;3929;-272;-1582;-666;-43
151647;2;17;2;290;1235;3873;-216;-1338;-614;-18
151657;2;17;2;290;1215;3817;-188;-1002;-559;-4
151667;2;17;2;290;1198;3805;-156;-697;-535;29
151677;2;17;2;290;1236;3782;-173;-435;-527;78
151687;2;17;2;290;1290;3750;-254;-85;-381;24
151697;2;17;2;290;1316;3788;-245;300;-173;-98
151707;2;17;2;290;1281;3880;-248;577;-123;-146
151717;2;17;2;290;1177;3945;-232;654;-112;-134
151727;2;17;2;290;1118;3945;-200;768;-46;-108
151737;2;17;2;290;1059;3956;-183;1046;78;-73
151747;2;17;2;290;1058;3987;-181;1349;211;-19
151757;2;17;2;290;1064;4039;-210;1602;311;62
151767;2;17;2;290;1098;4033;-226;1778;315;159
151777;2;17;2;290;1164;4054;-299;1833;222;259
151787;2;17;2;290;1225;4040;-389;1665;175;301
151797;2;17;2;290;1247;4005;-409;1542;308;240
151807;2;17;2;290;1268;3939;-422;1836;494;71
151817;2;17;2;290;1213;4018;-477;2249;617;-84
151827;2;17;2;290;1133;4030;-629;2190;654;-113
151837;2;17;2;290;1065;4024;-697;1649;676;-154
151847;2;17;2;290;983;3990;-633;1012;586;-131
151857;2;17;2;290;934;3971;-600;521;481;-71
151867;2;17;2;290;937;3939;-580;226;533;-73
151877;2;17;2;290;943;3955;-475;88;658;-107
151887;2;17;2;290;932;3996;-381;89;689;-93
151897;2;17;2;290;933;4052;-354;124;666;-70
151907;2;17;2;290;976;4047;-376;236;708;-120
151917;2;17;2;290;950;4045;-376;376;706;-180
151927;2;17;2;291;921;4088;-429;453;588;-194
151937;2;17;2;291;883;4075;-499;434;484;-181
151947;2;17;2;291;841;4044;-527;397;423;-164
151957;2;17;2;291;805;4022;-567;353;370;-136
151967;2;17;2;291;797;4016;-565;308;331;-90
151977;2;17;2;291;856;4004;-548;182;350;-76
151987;2;17;2;291;861;4027;-502;18;329;-74
151997;2;17;2;291;881;4023;-457;-26;310;-71
152007;2;17;2;291;907;4011;-417;49;295;-65
152017;2;17;2;291;897;4000;-407;143;294;-78
152027;2;17;2;291;901;3998;-441;239;307;-85
152037;2;17;2;291;891;4013;-444;288;365;-129
152047;2;17;2;291;898;4006;-483;361;346;-135
152057;2;17;2;291;906;4006;-485;375;320;-117
152067;2;17;2;291;892;4015;-473;348;253;-87
152077;2;17;2;291;935;4020;-486;374;171;-65
152087;2;17;2;291;948;4006;-536;438;216;-98
152097;2;17;2;291;961;4020;-584;469;276;-134
152107;2;17;2;291;984;4021;-629;363;322;-165
152117;2;17;2;291;960;4031;-608;208;289;-163
152127;2;17;2;291;962;4030;-574;135;243;-148
152137;2;17;2;291;932;4011;-571;156;209;-111
152147;2;17;2;291;931;4021;-632;186;308;-118
152157;2;17;2;291;896;4028;-596;203;399;-103
152167;2;17;2;291;933;4032;-578;219;377;-46
152177;2;17;2;291;968;4018;-612;245;344;-38
152187;2;17;2;291;985;4028;-666;245;309;-47
152197;2;17;2;291;989;3996;-759;148;311;-67
152207;2;17;2;291;981;4005;-767;-34;327;-85
152217;2;17;2;291;941;4027;-685;-250;304;-60
152227;2;17;2;291;973;4040;-635;-355;277;-38
152237;2;17;2;291;966;4033;-617;-365;308;-62
152247;2;17;2;291;938;4028;-553;-382;326;-62
152257;2;17;2;291;914;3988;-514;-398;272;-49
152267;2;17;2;291;947;3968;-569;-281;273;-77
152277;2;17;2;291;992;3982;-613;-100;381;-145
152287;2;17;2;291;982;4035;-570;-97;439;-182
152297;2;17;2;291;965;4079;-529;-202;343;-114
152307;2;17;2;291;963;4089;-429;-358;172;7
152317;2;17;2;291;998;4073;-419;-510;115;35
152327;2;17;2;291;1068;4010;-410;-334;406;-167
152337;2;17;2;291;1065;3985;-376;325;723;-356
152347;2;17;2;291;988;4043;-450;903;799;-393
152357;2;17;2;291;974;4030;-573;955;700;-316
152367;2;17;2;291;949;3944;-679;653;579;-233
152377;2;17;2;291;985;3897;-733;353;547;-247
152387;2;17;2;291;992;3937;-749;108;667;-330
152397;2;17;2;291;945;4024;-636;-164;741;-385
152407;2;17;2;291;865;4084;-509;-369;720;-357
152417;2;17;2;291;840;4050;-414;-413;646;-247
152427;2;17;2;292;867;4010;-413;-271;512;-134
152437;2;17;2;292;914;3953;-512;-148;402;-115
152447;2;17;2;292;976;3961;-614;-169;419;-143
152457;2;17;2;292;1003;3990;-637;-382;491;-217
152467;2;17;2;292;1005;4047;-565;-571;546;-277
152477;2;17;2;292;941;4064;-472;-635;585;-328
152487;2;17;2;292;904;4079;-460;-582;549;-312
152497;2;17;2;292;856;4054;-486;-499;538;-271
152507;2;17;2;292;858;4047;-499;-537;466;-188
152517;2;17;2;292;848;4050;-528;-637;372;-94
152527;2;17;2;292;892;4041;-529;-648;270;-32
152537;2;17;2;292;926;4011;-591;-553;223;-30
152547;2;17;2;292;963;3977;-641;-517;222;-93
152557;2;17;2;292;970;4010;-652;-688;170;-146
152567;2;17;2;292;924;4056;-586;-955;53;-134
152577;2;17;2;292;930;4028;-537;-1120;-31;-126
152587;2;17;2;292;910;4013;-453;-1033;39;-222
152597;2;17;2;292;917;4033;-401;-743;113;-269
152607;2;17;2;292;889;4043;-373;-517;89;-238
152617;2;17;2;292;918;4014;-454;-364;8;-175
152627;2;17;2;292;942;3972;-508;-256;-35;-121
152637;2;17;2;292;967;3958;-552;-209;-5;-126
152647;2;17;2;292;1005;3941;-556;-190;-4;-137
152657;2;17;2;292;1063;3997;-555;-246;-55;-171
152667;2;17;2;292;1049;4048;-502;-380;-123;-185
152677;2;17;2;292;1005;4032;-454;-507;-166;-190
152687;2;17;2;292;978;4022;-393;-530;-178;-186
152697;2;17;2;292;937;4007;-410;-395;-90;-219
152707;2;17;2;292;958;4008;-373;-201;-24;-229
152717;2;17;2;292;942;4022;-396;-33;38;-235
152727;2;17;2;292;983;4011;-501;104;74;-225
152737;2;17;2;292;1007;4032;-560;191;104;-237
152747;2;17;2;292;1045;4034;-544;128;40;-234
152757;2;17;2;292;1013;4083;-538;-57;-175;-169
152767;2;17;2;292;1000;4035;-544;-199;-323;-102
152777;2;17;2;292;988;3982;-555;-300;-365;-95
152787;2;17;2;292;922;3984;-532;-401;-324;-111
152797;2;17;2;292;891;4037;-441;-519;-337;-54
152807;2;17;2;292;944;4009;-414;-502;-353;11
152817;2;17;2;292;1012;4028;-390;-445;-339;8
152827;2;17;2;292;1005;4113;-356;-582;-413;23
152837;2;17;2;292;1054;4117;-366;-915;-452;53
152847;2;17;2;292;1088;4003;-343;-800;-289;-23
152857;2;17;2;292;1052;3963;-372;-179;-103;-132
152867;2;17;2;292;983;4004;-511;230;-45;-171
152877;2;17;2;292;916;4028;-586;-36;-69;-89
152887;2;17;2;292;910;4001;-549;-516;-99;-12
152897;2;17;2;292;908;4037;-399;-690;-184;60
152907;2;17;2;292;956;4040;-359;-621;-230;82
152917;2;17;2;292;956;4057;-321;-490;-220;70
