timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
2754809;1;17;2;5134;-3922;875;-225;-169;45;-320
2754819;1;17;2;5134;-3893;807;-177;-140;202;-424
2754829;1;17;2;5134;-3904;727;-43;-157;129;-476
2754839;1;17;2;5134;-3956;732;4;-29;142;-457
2754849;1;17;2;5134;-3934;742;37;-139;-214;-461
2754859;1;17;2;5134;-3941;772;45;-239;-468;-487
2754869;1;17;2;5134;-4006;844;-52;-308;-599;-609
2754879;1;17;2;5134;-4104;906;-161;-313;-651;-653
2754889;1;17;2;5134;-4217;869;-222;-330;-541;-608
2754899;1;17;2;5134;-4210;773;-212;-313;-382;-591
2754909;1;17;2;5134;-4145;704;-285;-265;-192;-571
2754919;1;17;2;5134;-4208;596;-60;-335;-109;-626
2754929;1;17;2;5134;-4067;570;-4;-459;-227;-697
2754939;1;17;2;5134;-3996;643;24;-475;-455;-762
2754949;1;17;2;5134;-3990;745;17;-569;-731;-666
2754959;1;17;2;5134;-4025;784;-35;-547;-904;-387
2754969;1;17;2;5134;-4029;689;-74;-551;-1102;-125
2754979;1;17;2;5134;-3974;550;-134;-445;-1142;-3
2754989;1;17;2;5134;-3923;528;-149;-332;-1039;-11
2754999;1;17;2;5134;-3846;526;-184;-268;-890;-49
2755009;1;17;2;5134;-3787;486;-188;-260;-741;-69
2755019;1;17;2;5134;-3846;453;-131;-282;-650;-92
2755029;1;17;2;5134;-3908;431;-84;-360;-626;-78
2755039;1;17;2;5134;-3999;347;-77;-410;-695;-64
2755049;1;17;2;5134;-4219;274;-29;-290;-953;-55
2755059;1;17;2;5134;-4209;397;140;-60;-1189;-73
2755069;1;17;2;5134;-3977;601;255;129;-1230;39
2755079;1;17;2;5134;-3765;672;295;301;-1197;271
2755089;1;17;2;5134;-3583;572;331;374;-1111;437
2755099;1;17;2;5134;-3582;384;349;402;-1003;415
2755109;1;17;2;5134;-3612;354;326;332;-928;231
2755119;1;17;2;5134;-3750;302;189;144;-884;20
2755129;1;17;2;5134;-3923;287;88;46;-870;-34
2755139;1;17;2;5134;-4069;282;38;33;-906;-63
2755149;1;17;2;5134;-4059;363;-43;144;-901;-129
2755159;1;17;2;5134;-4009;527;17;219;-854;-74
2755169;1;17;2;5134;-3994;588;126;274;-972;77
2755179;1;17;2;5134;-3908;688;268;361;-1219;289
2755189;1;17;2;5134;-3969;828;345;391;-1635;614
2755199;1;17;2;5134;-3954;969;386;417;-1900;897
2755209;1;17;2;5134;-4110;998;393;503;-2002;1364
2755219;1;17;2;5134;-4526;838;269;609;-1892;1691
2755229;1;17;2;5134;-4734;557;129;684;-1624;1947
2755239;1;17;2;5134;-4706;378;71;673;-1376;1976
2755249;1;17;2;5134;-4435;232;82;629;-1181;1743
2755259;1;17;2;5134;-4276;90;144;706;-1323;1364
2755269;1;17;2;5134;-4119;557;500;992;-1932;1047
2755279;1;17;2;5134;-3638;1276;420;1105;-2969;1091
2755289;1;17;2;5134;-3578;1757;553;794;-2733;1501
2755299;1;17;2;5134;-3763;1781;565;582;-2696;2233
2755309;1;17;2;5135;-3966;1463;362;616;-2741;2850
2755319;1;17;2;5135;-4208;1017;269;841;-2445;2972
2755329;1;17;2;5135;-4075;902;0;1107;-2233;2964
2755339;1;17;2;5135;-3926;787;-76;1252;-2156;3038
2755349;1;17;2;5135;-3683;986;-42;1339;-2054;3122
2755359;1;17;2;5135;-3606;1098;-43;1401;-1771;3270
2755369;1;17;2;5135;-3485;1307;77;1321;-1430;3328
2755379;1;17;2;5135;-3747;1475;148;1242;-1305;3464
2755389;1;17;2;5135;-3897;1668;122;1072;-1160;3537
2755399;1;17;2;5135;-3789;1805;327;903;-1113;3648
2755409;1;17;2;5135;-3784;1877;264;701;-798;3839
2755419;1;17;2;5135;-3782;1715;367;954;-723;4170
2755429;1;17;2;5135;-3877;1654;555;1189;-377;4391
2755439;1;17;2;5135;-3874;1663;930;1503;-704;4613
2755449;1;17;2;5135;-3219;1994;918;1757;-1686;4754
2755459;1;17;2;5135;-2893;2355;1104;1613;-827;5130
