timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
1740658;1;12;1;3284;-497;3730;-1533;-137;-99;-173
1740668;1;12;1;3284;-500;3750;-1534;-111;-114;-263
1740678;1;12;1;3284;-562;3769;-1546;-96;-147;-331
1740688;1;12;1;3284;-602;3771;-1535;-97;-180;-361
1740698;1;12;1;3284;-642;3764;-1506;-118;-201;-338
1740708;1;12;1;3284;-660;3726;-1487;-130;-208;-293
1740718;1;12;1;3284;-640;3724;-1450;-118;-200;-233
1740728;1;12;1;3284;-616;3715;-1444;-115;-203;-181
1740738;1;12;1;3284;-587;3720;-1461;-119;-208;-153
1740748;1;12;1;3284;-569;3714;-1479;-104;-223;-149
1740758;1;12;1;3284;-555;3719;-1489;-83;-237;-174
1740768;1;12;1;3284;-572;3737;-1513;-64;-256;-213
1740778;1;12;1;3284;-588;3744;-1536;-51;-272;-239
1740788;1;12;1;3284;-605;3749;-1524;-47;-265;-249
1740798;1;12;1;3284;-615;3748;-1520;-50;-242;-234
1740808;1;12;1;3284;-596;3709;-1507;-64;-188;-200
1740818;1;12;1;3284;-577;3690;-1486;-59;-142;-159
1740828;1;12;1;3284;-537;3689;-1472;-41;-74;-127
1740838;1;12;1;3284;-504;3713;-1484;-34;-1;-110
1740848;1;12;1;3284;-523;3764;-1503;-9;51;-89
1740858;1;12;1;3284;-507;3810;-1536;-2;104;-59
1740868;1;12;1;3284;-533;3859;-1535;-15;155;-11
1740878;1;12;1;3284;-566;3870;-1530;-28;179;59
1740888;1;12;1;3284;-560;3862;-1505;-53;202;106
1740898;1;12;1;3284;-553;3812;-1486;-76;193;135
1740908;1;12;1;3284;-521;3781;-1483;-84;173;133
1740918;1;12;1;3284;-483;3783;-1498;-93;151;99
1740928;1;12;1;3284;-486;3783;-1513;-106;124;40
1740938;1;12;1;3284;-502;3785;-1537;-119;102;-38
1740948;1;12;1;3284;-509;3810;-1556;-135;77;-116
1740958;1;12;1;3284;-560;3833;-1545;-156;36;-172
1740968;1;12;1;3284;-601;3848;-1550;-192;-14;-207
1740978;1;12;1;3284;-612;3855;-1547;-220;-69;-206
1740988;1;12;1;3284;-635;3827;-1514;-294;-110;-156
1740998;1;12;1;3284;-635;3804;-1530;-314;-121;-123
1741008;1;12;1;3284;-639;3767;-1503;-346;-119;-99
1741018;1;12;1;3284;-642;3735;-1486;-342;-114;-82
1741028;1;12;1;3284;-633;3727;-1486;-327;-111;-73
1741038;1;12;1;3284;-657;3747;-1448;-308;-118;-59
1741048;1;12;1;3284;-669;3761;-1426;-285;-124;-12
1741058;1;12;1;3284;-660;3768;-1393;-275;-132;34
1741068;1;12;1;3284;-642;3781;-1400;-278;-145;93
1741078;1;12;1;3284;-600;3736;-1388;-258;-163;124
1741088;1;12;1;3284;-571;3720;-1430;-253;-157;133
1741098;1;12;1;3284;-552;3706;-1433;-236;-147;109
1741108;1;12;1;3284;-543;3734;-1449;-223;-132;79
1741118;1;12;1;3284;-553;3772;-1477;-216;-115;64
1741128;1;12;1;3284;-542;3813;-1435;-210;-85;76
1741138;1;12;1;3284;-515;3835;-1442;-191;-42;122
1741148;1;12;1;3284;-472;3806;-1459;-169;32;150
1741158;1;12;1;3285;-463;3733;-1499;-140;95;141
1741168;1;12;1;3285;-440;3673;-1504;-137;143;98
1741178;1;12;1;3285;-440;3679;-1524;-146;172;29
1741188;1;12;1;3285;-471;3740;-1543;-155;174;-43
1741198;1;12;1;3285;-491;3810;-1520;-169;156;-66
1741208;1;12;1;3285;-521;3862;-1476;-207;156;-22
1741218;1;12;1;3285;-542;3858;-1450;-226;161;39
1741228;1;12;1;3285;-521;3808;-1453;-223;175;89
1741238;1;12;1;3285;-523;3775;-1433;-221;176;105
1741248;1;12;1;3285;-493;3726;-1459;-208;176;78
1741258;1;12;1;3285;-497;3730;-1481;-192;159;29
