timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
3415825;1;20;2;6409;4221;3068;978;364;-4042;993
3415835;1;20;2;6409;4524;2952;891;540;-3983;430
3415845;1;20;2;6409;4486;2735;1039;542;-3791;-253
3415855;1;20;2;6409;4117;2615;1331;507;-3553;-869
3415865;1;20;2;6409;3548;2413;1435;315;-3406;-1353
3415875;1;20;2;6409;3198;2567;1579;66;-3693;-1261
3415885;1;20;2;6409;3181;2792;1577;-43;-3982;-1437
3415895;1;20;2;6409;3421;2886;1495;-48;-4202;-1596
3415905;1;20;2;6409;3765;2920;1379;38;-4291;-1777
3415915;1;20;2;6409;3956;2856;1287;34;-3979;-1720
3415925;1;20;2;6409;4110;2770;1279;-9;-3554;-1606
3415935;1;20;2;6409;4138;2638;1309;3;-3148;-1393
3415945;1;20;2;6409;4059;2590;1372;109;-2765;-1209
3415955;1;20;2;6409;4034;2561;1384;152;-2470;-1281
3415965;1;20;2;6409;3978;2610;1355;192;-2328;-1524
3415975;1;20;2;6409;4121;2702;1193;191;-2244;-1682
3415985;1;20;2;6409;4277;2693;1035;210;-2136;-1716
3415995;1;20;2;6409;4220;2674;967;199;-1923;-1533
3416005;1;20;2;6409;4170;2719;879;162;-1623;-1280
3416015;1;20;2;6409;4065;2929;906;111;-1148;-1106
3416025;1;20;2;6409;3952;3104;935;326;-741;-991
3416035;1;20;2;6409;4035;3180;940;738;-557;-793
3416045;1;20;2;6409;4352;3235;925;1303;-439;-474
3416055;1;20;2;6409;4698;3278;792;1510;-570;-307
3416065;1;20;2;6409;4702;3340;625;1430;-318;-230
3416075;1;20;2;6409;4266;3189;578;1088;193;97
3416085;1;20;2;6409;3708;2923;672;560;196;338
3416095;1;20;2;6409;3350;2873;691;-228;873;228
3416105;1;20;2;6409;3153;3020;540;-312;1052;-633
3416115;1;20;2;6409;3056;3231;388;246;1452;-1253
3416125;1;20;2;6409;3125;3185;332;831;1648;-2187
3416135;1;20;2;6409;3139;3128;239;1146;1869;-2631
3416145;1;20;2;6409;3314;2945;200;1632;2003;-3130
3416155;1;20;2;6409;3287;2903;86;2026;1940;-3578
3416165;1;20;2;6409;3240;2758;99;2244;1786;-3634
3416175;1;20;2;6409;3033;2533;149;2327;1808;-3345
3416185;1;20;2;6409;2658;2177;137;2196;1945;-2952
3416195;1;20;2;6409;2498;1962;91;1780;2215;-2632
3416205;1;20;2;6409;2643;1996;21;1546;2526;-2532
3416215;1;20;2;6409;2801;2403;-122;1220;2960;-2423
3416225;1;20;2;6409;2909;2801;-119;1028;2831;-2595
3416235;1;20;2;6409;2988;3012;-55;1018;2694;-2217
3416245;1;20;2;6409;2937;3267;-23;1263;1854;-2394
3416255;1;20;2;6409;2917;3334;-70;1334;1537;-2012
3416265;1;20;2;6409;2990;3197;27;1412;1007;-2067
3416275;1;20;2;6409;2993;3034;161;1270;1196;-2256
3416285;1;20;2;6409;3337;2955;1;1484;1012;-2331
3416295;1;20;2;6409;3232;2691;162;1293;1502;-2606
3416305;1;20;2;6409;2923;2520;82;1026;1961;-2682
3416315;1;20;2;6409;2473;2579;33;582;2146;-2892
3416325;1;20;2;6410;2343;2809;-145;194;1804;-3018
3416335;1;20;2;6410;2591;3021;-216;116;912;-2894
3416345;1;20;2;6410;2839;3225;-176;279;-80;-2752
3416355;1;20;2;6410;3055;3289;-115;438;-766;-2322
3416365;1;20;2;6410;3261;3376;19;742;-1090;-2148
3416375;1;20;2;6410;3490;3311;27;734;-986;-2089
3416385;1;20;2;6410;3460;3211;114;429;-505;-2114
3416395;1;20;2;6410;3296;3020;112;6;24;-2177
3416405;1;20;2;6410;3012;2836;118;-494;209;-1935
3416415;1;20;2;6410;2886;2671;108;-820;243;-1661
3416425;1;20;2;6410;2734;2676;151;-988;73;-1470
3416435;1;20;2;6410;2622;2858;147;-1074;-240;-1213
3416445;1;20;2;6410;2622;3189;221;-1196;-795;-875
3416455;1;20;2;6410;2786;3441;390;-1137;-1251;-613
3416465;1;20;2;6410;3029;3497;478;-1022;-1333;-450
3416475;1;20;2;6410;3027;3375;612;-937;-1045;-330
3416485;1;20;2;6410;2922;3144;655;-1048;-578;-231
3416495;1;20;2;6410;2828;2816;938;-1428;9;-100
3416505;1;20;2;6410;2491;2717;951;-1346;850;86
3416515;1;20;2;6410;2200;2721;873;-1487;1402;178
3416525;1;20;2;6410;2080;2774;784;-1597;1473;372
3416535;1;20;2;6410;1931;2766;776;-1562;1234;425
3416545;1;20;2;6410;1920;2917;657;-1314;714;272
3416555;1;20;2;6410;2193;2959;500;-1169;-12;39
3416565;1;20;2;6410;2268;2981;684;-781;-1317;172
3416575;1;20;2;6410;2595;3051;455;-9;-1078;-293
3416585;1;20;2;6410;2679;2896;369;165;-573;-625
3416595;1;20;2;6410;2585;2765;384;216;-183;-864
3416605;1;20;2;6410;2472;2615;309;181;-1;-1218
3416615;1;20;2;6410;2222;2651;435;225;-961;-1038
