timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
1173091;1;11;1;2200;-543;3917;-1040;-133;-129;-135
1173101;1;11;1;2200;-553;3916;-1032;-133;-105;-158
1173111;1;11;1;2200;-566;3936;-1044;-132;-91;-158
1173121;1;11;1;2200;-555;3926;-1061;-147;-72;-152
1173131;1;11;1;2200;-564;3941;-1037;-166;-32;-131
1173141;1;11;1;2200;-562;3949;-1032;-180;-1;-91
1173151;1;11;1;2200;-545;3950;-1027;-197;47;-59
1173161;1;11;1;2200;-541;3936;-1050;-216;72;-35
1173171;1;11;1;2200;-541;3922;-1047;-224;69;-8
1173181;1;11;1;2200;-532;3917;-1049;-217;66;-14
1173191;1;11;1;2200;-531;3921;-1048;-203;48;-42
1173201;1;11;1;2200;-546;3906;-1029;-194;24;-64
1173211;1;11;1;2200;-532;3925;-1050;-191;20;-79
1173221;1;11;1;2200;-550;3922;-1038;-181;20;-74
1173231;1;11;1;2200;-568;3904;-1015;-187;13;-65
1173241;1;11;1;2200;-560;3906;-1013;-184;25;-62
1173251;1;11;1;2200;-560;3922;-1001;-176;26;-45
1173261;1;11;1;2200;-572;3923;-1020;-162;13;-37
1173271;1;11;1;2200;-555;3929;-1008;-160;-4;-39
1173281;1;11;1;2200;-549;3921;-1059;-167;4;-31
1173291;1;11;1;2200;-561;3916;-1034;-184;-8;-26
1173301;1;11;1;2200;-545;3914;-1041;-186;-36;-23
1173311;1;11;1;2200;-566;3901;-1023;-168;-56;-33
1173321;1;11;1;2200;-562;3905;-1032;-160;-47;-45
1173331;1;11;1;2200;-552;3916;-1030;-159;-25;-37
1173341;1;11;1;2200;-555;3927;-1023;-160;7;-19
1173351;1;11;1;2200;-544;3937;-1044;-170;47;-9
1173361;1;11;1;2200;-543;3937;-1060;-183;84;-13
1173371;1;11;1;2200;-530;3940;-1036;-195;103;-28
1173381;1;11;1;2200;-546;3938;-1016;-198;94;-40
1173391;1;11;1;2200;-537;3928;-1007;-184;61;-52
1173401;1;11;1;2200;-541;3913;-1002;-174;40;-71
1173411;1;11;1;2200;-542;3905;-1004;-171;18;-90
1173421;1;11;1;2200;-535;3905;-1002;-159;-2;-93
1173431;1;11;1;2200;-547;3897;-999;-135;-39;-96
1173441;1;11;1;2200;-560;3915;-1022;-115;-57;-99
1173451;1;11;1;2200;-578;3905;-1055;-128;-32;-106
1173461;1;11;1;2200;-577;3921;-1026;-131;-13;-105
1173471;1;11;1;2200;-583;3943;-1035;-148;-6;-101
1173481;1;11;1;2200;-584;3947;-1068;-168;16;-84
1173491;1;11;1;2200;-581;3932;-1062;-186;46;-83
1173501;1;11;1;2200;-589;3916;-1036;-188;70;-77
1173511;1;11;1;2200;-594;3924;-1015;-186;72;-51
1173521;1;11;1;2200;-629;3912;-1038;-185;38;-23
1173531;1;11;1;2200;-577;3881;-1049;-195;28;42
1173541;1;11;1;2200;-576;3854;-1054;-182;34;39
1173551;1;11;1;2200;-565;3891;-1023;-147;-15;-42
1173561;1;11;1;2200;-546;3973;-1018;-99;-63;-144
1173571;1;11;1;2200;-590;4022;-1023;-72;-124;-179
1173581;1;11;1;2200;-621;3965;-1006;-84;-155;-113
1173592;1;11;1;2201;-647;3883;-969;-102;-115;0
1173602;1;11;1;2201;-635;3819;-967;-123;-31;81
1173612;1;11;1;2201;-601;3783;-945;-140;40;137
1173622;1;11;1;2201;-615;3804;-912;-132;16;126
1173632;1;11;1;2201;-621;3836;-860;-125;-107;100
