timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
3105825;1;18;2;5789;1831;2073;-2680;-3739;-1638;-1298
3105835;1;18;2;5789;1917;2018;-2532;-4002;-1520;-1500
3105845;1;18;2;5789;2241;1940;-2624;-3801;-1525;-1563
3105855;1;18;2;5789;2427;2205;-2655;-3655;-1278;-1735
3105865;1;18;2;5789;2709;2309;-2897;-3155;-1344;-1907
3105875;1;18;2;5789;2762;2429;-3359;-2564;-2110;-2426
3105885;1;18;2;5789;2492;2420;-3749;-2578;-2183;-2573
3105895;1;18;2;5789;2147;2330;-3547;-2797;-2222;-2840
3105905;1;18;2;5789;1955;2225;-3625;-3020;-2186;-3333
3105915;1;18;2;5789;1721;2016;-3557;-3164;-2192;-3648
3105925;1;18;2;5789;1595;1955;-3385;-3504;-1724;-4013
3105935;1;18;2;5789;1556;2057;-3152;-3837;-1330;-4263
3105945;1;18;2;5789;1486;2163;-3061;-3950;-745;-4579
3105955;1;18;2;5789;1613;2357;-2961;-4128;-376;-4905
3105965;1;18;2;5789;1881;2367;-3065;-4096;-296;-5259
3105975;1;18;2;5789;1761;2351;-3309;-4343;-613;-5544
3105985;1;18;2;5789;1576;2344;-3561;-4607;-905;-5852
3105995;1;18;2;5789;1291;2392;-3573;-4961;-1128;-6142
3106005;1;18;2;5789;918;2433;-3497;-5304;-1376;-6338
3106015;1;18;2;5789;679;2730;-3353;-5752;-941;-6399
3106025;1;18;2;5789;704;2989;-2944;-6079;-696;-6429
3106035;1;18;2;5789;667;3238;-2716;-6134;-622;-6315
3106045;1;18;2;5789;799;3369;-2803;-6367;-431;-5988
3106055;1;18;2;5789;1049;3397;-2929;-6307;-375;-5483
3106065;1;18;2;5789;958;3105;-3192;-6589;-835;-5162
3106075;1;18;2;5789;886;2723;-3137;-6545;-1112;-5094
3106085;1;18;2;5789;560;2534;-3140;-6910;-1037;-5322
3106095;1;18;2;5789;298;2487;-2917;-7340;-635;-5624
3106105;1;18;2;5789;137;2621;-2568;-7842;-473;-6027
3106115;1;18;2;5789;209;2990;-2228;-8061;-441;-6409
3106125;1;18;2;5789;368;3286;-1919;-7763;-450;-6293
3106135;1;18;2;5789;530;3300;-1734;-7269;-682;-6367
