timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
2933309;1;17;2;5491;-4236;1427;201;525;1120;1961
2933319;1;17;2;5491;-3919;1312;357;740;1815;2229
2933329;1;17;2;5491;-3690;1124;241;963;2864;2304
2933339;1;17;2;5491;-3595;1103;372;957;3269;2324
2933349;1;17;2;5491;-4169;1110;630;655;3084;2477
2933359;1;17;2;5491;-4384;1411;936;354;2192;2627
2933369;1;17;2;5491;-4380;1953;918;151;1669;3091
2933379;1;17;2;5491;-4580;2239;732;76;1376;3897
2933389;1;17;2;5491;-4615;2162;622;324;1434;4381
2933399;1;17;2;5491;-4556;1943;557;688;1642;4374
2933409;1;17;2;5491;-4324;1846;630;928;1891;4130
2933419;1;17;2;5491;-4096;1931;933;1012;1991;4125
2933429;1;17;2;5491;-3823;2111;1162;957;1802;4567
2933439;1;17;2;5491;-3629;2205;1156;781;1425;5291
2933449;1;17;2;5491;-3391;2262;1041;658;955;5946
2933459;1;17;2;5491;-3407;2210;725;600;592;6324
2933469;1;17;2;5491;-3456;2200;451;589;538;6346
2933479;1;17;2;5491;-3497;2180;147;695;629;6098
2933489;1;17;2;5491;-3506;2225;52;722;730;5981
2933499;1;17;2;5491;-3393;2326;-80;710;1001;5860
2933509;1;17;2;5491;-3430;2382;-250;648;1211;5874
2933519;1;17;2;5491;-3582;2346;-350;511;1251;6013
2933529;1;17;2;5491;-3787;2311;-393;389;1126;6151
2933539;1;17;2;5491;-3896;2464;-282;278;883;6367
2933549;1;17;2;5491;-3781;2686;-111;251;736;6635
2933559;1;17;2;5491;-3476;2886;-34;253;845;6964
2933569;1;17;2;5491;-3233;2857;-77;441;1028;7108
2933579;1;17;2;5491;-2991;2731;-61;718;1356;7012
2933589;1;17;2;5491;-2978;2635;-121;1114;1557;6738
2933599;1;17;2;5491;-2999;2720;-142;1358;1720;6600
2933609;1;17;2;5491;-3207;2707;-202;1398;1635;6553
2933619;1;17;2;5491;-3447;2765;-228;1217;1357;6405
2933629;1;17;2;5491;-3576;2809;-262;952;932;6294
2933639;1;17;2;5491;-3522;2975;-214;696;527;6369
2933649;1;17;2;5491;-3258;3084;-202;517;293;6687
2933659;1;17;2;5491;-2993;3090;-162;641;193;6841
2933669;1;17;2;5491;-2707;3087;-248;883;221;6923
2933679;1;17;2;5491;-2548;3095;-345;1151;294;6830
2933689;1;17;2;5491;-2505;3058;-449;1377;390;6667
2933699;1;17;2;5491;-2383;3097;-501;1488;435;6462
2933709;1;17;2;5491;-2466;2994;-604;1454;467;6338
2933719;1;17;2;5491;-2499;2904;-637;1399;475;6301
2933729;1;17;2;5491;-2510;2880;-594;1317;426;6157
2933739;1;17;2;5491;-2561;2845;-559;1234;281;5937
2933749;1;17;2;5491;-2534;2935;-501;1152;119;5709
2933759;1;17;2;5491;-2498;3067;-398;1062;-142;5732
2933769;1;17;2;5491;-2397;3326;-343;949;-423;5946
2933779;1;17;2;5491;-2291;3319;-314;875;-718;6286
2933789;1;17;2;5491;-2008;3239;-397;919;-721;6614
2933799;1;17;2;5491;-1664;3282;-567;1091;-467;6799
2933809;1;17;2;5492;-1257;3239;-810;1391;235;6762
2933819;1;17;2;5492;-1252;3172;-1145;1599;939;6183
2933829;1;17;2;5492;-1304;3161;-1494;1560;1318;5302
2933839;1;17;2;5492;-1449;3261;-1657;1434;1450;4392
2933849;1;17;2;5492;-1700;3519;-1722;1208;1687;3898
2933859;1;17;2;5492;-1919;3682;-1485;907;1805;3899
2933869;1;17;2;5492;-1989;3675;-1159;670;1825;4100
2933879;1;17;2;5492;-1841;3627;-810;547;1816;4346
2933889;1;17;2;5492;-1687;3602;-664;525;1805;4438
2933899;1;17;2;5492;-1393;3349;-524;575;1740;4484
2933909;1;17;2;5492;-1033;3192;-496;664;1779;4288
2933919;1;17;2;5492;-827;3019;-518;860;2131;3910
2933929;1;17;2;5492;-816;2976;-636;975;2227;3311
2933939;1;17;2;5492;-885;2992;-723;964;2041;2436
